Pays;Arrivées;Nuitées;Année.mois;Région
Afrique du Sud;84;438;01.01.2021;Suisse total
Allemagne;24168;80099;01.01.2021;Suisse total
Arabie Saoudite;130;765;01.01.2021;Suisse total
Argentine;63;167;01.01.2021;Suisse total
Australie;261;802;01.01.2021;Suisse total
Autres Afrique;452;2048;01.01.2021;Suisse total
Autres Afrique du Nord;225;1023;01.01.2021;Suisse total
Autres Amérique centrale, Caraïbes;173;582;01.01.2021;Suisse total
Autres Amérique du Sud;188;501;01.01.2021;Suisse total
Autres Asie de l'Est;271;767;01.01.2021;Suisse total
Autres Asie de l'Ouest;243;931;01.01.2021;Suisse total
Autres Europe;1172;3391;01.01.2021;Suisse total
Autriche;3046;8150;01.01.2021;Suisse total
Bahreïn;6;34;01.01.2021;Suisse total
Belgique;2973;9718;01.01.2021;Suisse total
Biélorussie;43;132;01.01.2021;Suisse total
Brésil;399;1394;01.01.2021;Suisse total
Bulgarie;400;1260;01.01.2021;Suisse total
Canada;478;1483;01.01.2021;Suisse total
Chili;96;470;01.01.2021;Suisse total
Chine (sans Hongkong);642;1505;01.01.2021;Suisse total
Chine (Taiwan);36;66;01.01.2021;Suisse total
Chypre;111;695;01.01.2021;Suisse total
Croatie;179;489;01.01.2021;Suisse total
Danemark;468;1518;01.01.2021;Suisse total
Egypte;74;212;01.01.2021;Suisse total
Emirats Arabes Unis;685;1416;01.01.2021;Suisse total
Espagne;2134;6065;01.01.2021;Suisse total
Estonie;223;932;01.01.2021;Suisse total
Etats-Unis d'Amérique;2770;8426;01.01.2021;Suisse total
Finlande;209;591;01.01.2021;Suisse total
France;23403;50233;01.01.2021;Suisse total
Grèce;441;1483;01.01.2021;Suisse total
Hongkong;81;329;01.01.2021;Suisse total
Hongrie;499;1997;01.01.2021;Suisse total
Inde;179;1189;01.01.2021;Suisse total
Indonésie;26;110;01.01.2021;Suisse total
Iran (Perse);21;127;01.01.2021;Suisse total
Irlande (Eire);311;1072;01.01.2021;Suisse total
Islande;32;81;01.01.2021;Suisse total
Israël;181;609;01.01.2021;Suisse total
Italie;8378;21877;01.01.2021;Suisse total
Japon;226;770;01.01.2021;Suisse total
Koweït;12;120;01.01.2021;Suisse total
Lettonie;238;907;01.01.2021;Suisse total
Liechtenstein;667;1431;01.01.2021;Suisse total
Lituanie;112;417;01.01.2021;Suisse total
Luxembourg;718;1970;01.01.2021;Suisse total
Malaisie;40;116;01.01.2021;Suisse total
Malte;136;411;01.01.2021;Suisse total
Mexique;100;320;01.01.2021;Suisse total
Norvège;198;739;01.01.2021;Suisse total
Nouvelle-Zélande, Océanie;78;333;01.01.2021;Suisse total
Oman;33;248;01.01.2021;Suisse total
Pays-Bas;3424;9173;01.01.2021;Suisse total
Philippines;77;267;01.01.2021;Suisse total
Pologne;6241;31270;01.01.2021;Suisse total
Portugal;1118;2891;01.01.2021;Suisse total
Qatar;143;565;01.01.2021;Suisse total
République de Corée;434;761;01.01.2021;Suisse total
République tchèque;1279;5075;01.01.2021;Suisse total
Roumanie;1273;3960;01.01.2021;Suisse total
Royaume-Uni;2723;9671;01.01.2021;Suisse total
Russie;2063;10081;01.01.2021;Suisse total
Serbie;146;401;01.01.2021;Suisse total
Singapour;451;622;01.01.2021;Suisse total
Slovaquie;411;2971;01.01.2021;Suisse total
Slovénie;157;531;01.01.2021;Suisse total
Suède;581;2027;01.01.2021;Suisse total
Suisse;424109;962364;01.01.2021;Suisse total
Thaïlande;124;351;01.01.2021;Suisse total
Turquie;413;1340;01.01.2021;Suisse total
Ukraine;509;2042;01.01.2021;Suisse total
Afrique du Sud;6;14;01.01.2021;VD total
Allemagne;579;2002;01.01.2021;VD total
Arabie Saoudite;7;70;01.01.2021;VD total
Argentine;0;2;01.01.2021;VD total
Australie;12;70;01.01.2021;VD total
Autres Afrique;38;346;01.01.2021;VD total
Autres Afrique du Nord;16;74;01.01.2021;VD total
Autres Amérique centrale, Caraïbes;21;31;01.01.2021;VD total
Autres Amérique du Sud;11;11;01.01.2021;VD total
Autres Asie de l'Est;28;36;01.01.2021;VD total
Autres Asie de l'Ouest;13;118;01.01.2021;VD total
Autres Europe;65;199;01.01.2021;VD total
Autriche;63;155;01.01.2021;VD total
Bahreïn;;;01.01.2021;VD total
Belgique;272;633;01.01.2021;VD total
Biélorussie;13;22;01.01.2021;VD total
Brésil;39;152;01.01.2021;VD total
Bulgarie;41;128;01.01.2021;VD total
Canada;19;76;01.01.2021;VD total
Chili;5;9;01.01.2021;VD total
Chine (sans Hongkong);175;387;01.01.2021;VD total
Chine (Taiwan);1;3;01.01.2021;VD total
Chypre;6;8;01.01.2021;VD total
Croatie;20;45;01.01.2021;VD total
Danemark;15;45;01.01.2021;VD total
Egypte;10;61;01.01.2021;VD total
Emirats Arabes Unis;10;22;01.01.2021;VD total
Espagne;187;544;01.01.2021;VD total
Estonie;6;20;01.01.2021;VD total
Etats-Unis d'Amérique;224;682;01.01.2021;VD total
Finlande;35;47;01.01.2021;VD total
France;4697;8887;01.01.2021;VD total
Grèce;29;60;01.01.2021;VD total
Hongkong;10;14;01.01.2021;VD total
Hongrie;12;22;01.01.2021;VD total
Inde;17;74;01.01.2021;VD total
Indonésie;;;01.01.2021;VD total
Iran (Perse);2;33;01.01.2021;VD total
Irlande (Eire);25;94;01.01.2021;VD total
Islande;;;01.01.2021;VD total
Israël;5;45;01.01.2021;VD total
Italie;609;1410;01.01.2021;VD total
Japon;9;29;01.01.2021;VD total
Koweït;1;32;01.01.2021;VD total
Lettonie;9;55;01.01.2021;VD total
Liechtenstein;8;16;01.01.2021;VD total
Lituanie;6;19;01.01.2021;VD total
Luxembourg;44;79;01.01.2021;VD total
Malaisie;2;16;01.01.2021;VD total
Malte;4;10;01.01.2021;VD total
Mexique;14;57;01.01.2021;VD total
Norvège;14;33;01.01.2021;VD total
Nouvelle-Zélande, Océanie;4;4;01.01.2021;VD total
Oman;;;01.01.2021;VD total
Pays-Bas;119;222;01.01.2021;VD total
Philippines;4;14;01.01.2021;VD total
Pologne;51;130;01.01.2021;VD total
Portugal;185;541;01.01.2021;VD total
Qatar;4;11;01.01.2021;VD total
République de Corée;5;67;01.01.2021;VD total
République tchèque;31;118;01.01.2021;VD total
Roumanie;173;384;01.01.2021;VD total
Royaume-Uni;193;456;01.01.2021;VD total
Russie;140;419;01.01.2021;VD total
Serbie;14;23;01.01.2021;VD total
Singapour;13;19;01.01.2021;VD total
Slovaquie;6;39;01.01.2021;VD total
Slovénie;3;4;01.01.2021;VD total
Suède;32;119;01.01.2021;VD total
Suisse;30395;59017;01.01.2021;VD total
Thaïlande;7;7;01.01.2021;VD total
Turquie;16;77;01.01.2021;VD total
Ukraine;33;96;01.01.2021;VD total
Afrique du Sud;6;9;01.01.2021;Alpes VD
Allemagne;32;105;01.01.2021;Alpes VD
Arabie Saoudite;;;01.01.2021;Alpes VD
Argentine;;;01.01.2021;Alpes VD
Australie;0;6;01.01.2021;Alpes VD
Autres Afrique;4;6;01.01.2021;Alpes VD
Autres Amérique centrale, Caraïbes;3;5;01.01.2021;Alpes VD
Autres Amérique du Sud;1;1;01.01.2021;Alpes VD
Autres Asie de l'Est;6;12;01.01.2021;Alpes VD
Autres Asie de l'Ouest;4;6;01.01.2021;Alpes VD
Autres Europe;16;43;01.01.2021;Alpes VD
Autriche;1;2;01.01.2021;Alpes VD
Belgique;72;191;01.01.2021;Alpes VD
Biélorussie;2;9;01.01.2021;Alpes VD
Brésil;9;34;01.01.2021;Alpes VD
Bulgarie;5;9;01.01.2021;Alpes VD
Canada;6;15;01.01.2021;Alpes VD
Chili;;;01.01.2021;Alpes VD
Chine (sans Hongkong);6;16;01.01.2021;Alpes VD
Chine (Taiwan);;;01.01.2021;Alpes VD
Chypre;;;01.01.2021;Alpes VD
Croatie;;;01.01.2021;Alpes VD
Danemark;2;4;01.01.2021;Alpes VD
Egypte;1;5;01.01.2021;Alpes VD
Emirats Arabes Unis;;;01.01.2021;Alpes VD
Espagne;28;54;01.01.2021;Alpes VD
Estonie;2;2;01.01.2021;Alpes VD
Etats-Unis d'Amérique;36;74;01.01.2021;Alpes VD
Finlande;;;01.01.2021;Alpes VD
France;1151;2306;01.01.2021;Alpes VD
Grèce;;;01.01.2021;Alpes VD
Hongkong;;;01.01.2021;Alpes VD
Inde;8;16;01.01.2021;Alpes VD
Irlande (Eire);;;01.01.2021;Alpes VD
Islande;;;01.01.2021;Alpes VD
Israël;2;2;01.01.2021;Alpes VD
Italie;51;164;01.01.2021;Alpes VD
Japon;0;1;01.01.2021;Alpes VD
Koweït;;;01.01.2021;Alpes VD
Liechtenstein;;;01.01.2021;Alpes VD
Luxembourg;9;15;01.01.2021;Alpes VD
Malte;2;4;01.01.2021;Alpes VD
Mexique;6;16;01.01.2021;Alpes VD
Norvège;1;8;01.01.2021;Alpes VD
Nouvelle-Zélande, Océanie;2;2;01.01.2021;Alpes VD
Pays-Bas;13;32;01.01.2021;Alpes VD
Pologne;7;27;01.01.2021;Alpes VD
Portugal;11;39;01.01.2021;Alpes VD
Qatar;1;2;01.01.2021;Alpes VD
République de Corée;0;1;01.01.2021;Alpes VD
République tchèque;2;4;01.01.2021;Alpes VD
Roumanie;4;8;01.01.2021;Alpes VD
Royaume-Uni;43;81;01.01.2021;Alpes VD
Russie;25;58;01.01.2021;Alpes VD
Singapour;;;01.01.2021;Alpes VD
Slovaquie;;;01.01.2021;Alpes VD
Slovénie;;;01.01.2021;Alpes VD
Suède;;;01.01.2021;Alpes VD
Suisse;14231;25745;01.01.2021;Alpes VD
Thaïlande;2;2;01.01.2021;Alpes VD
Turquie;1;6;01.01.2021;Alpes VD
Ukraine;5;36;01.01.2021;Alpes VD
Afrique du Sud;1;1;01.01.2021;Aigle-Leysin-Les Mosses
Allemagne;10;29;01.01.2021;Aigle-Leysin-Les Mosses
Arabie Saoudite;;;01.01.2021;Aigle-Leysin-Les Mosses
Australie;;;01.01.2021;Aigle-Leysin-Les Mosses
Autres Afrique;;;01.01.2021;Aigle-Leysin-Les Mosses
Autres Amérique centrale, Caraïbes;;;01.01.2021;Aigle-Leysin-Les Mosses
Autres Asie de l'Est;6;12;01.01.2021;Aigle-Leysin-Les Mosses
Autres Asie de l'Ouest;;;01.01.2021;Aigle-Leysin-Les Mosses
Autriche;;;01.01.2021;Aigle-Leysin-Les Mosses
Belgique;8;35;01.01.2021;Aigle-Leysin-Les Mosses
Biélorussie;1;6;01.01.2021;Aigle-Leysin-Les Mosses
Brésil;5;10;01.01.2021;Aigle-Leysin-Les Mosses
Canada;6;15;01.01.2021;Aigle-Leysin-Les Mosses
Chine (sans Hongkong);2;2;01.01.2021;Aigle-Leysin-Les Mosses
Chine (Taiwan);;;01.01.2021;Aigle-Leysin-Les Mosses
Croatie;;;01.01.2021;Aigle-Leysin-Les Mosses
Egypte;;;01.01.2021;Aigle-Leysin-Les Mosses
Emirats Arabes Unis;;;01.01.2021;Aigle-Leysin-Les Mosses
Espagne;0;1;01.01.2021;Aigle-Leysin-Les Mosses
Etats-Unis d'Amérique;7;20;01.01.2021;Aigle-Leysin-Les Mosses
France;150;255;01.01.2021;Aigle-Leysin-Les Mosses
Hongkong;;;01.01.2021;Aigle-Leysin-Les Mosses
Inde;;;01.01.2021;Aigle-Leysin-Les Mosses
Irlande (Eire);;;01.01.2021;Aigle-Leysin-Les Mosses
Italie;10;18;01.01.2021;Aigle-Leysin-Les Mosses
Japon;;;01.01.2021;Aigle-Leysin-Les Mosses
Koweït;;;01.01.2021;Aigle-Leysin-Les Mosses
Luxembourg;1;3;01.01.2021;Aigle-Leysin-Les Mosses
Norvège;1;8;01.01.2021;Aigle-Leysin-Les Mosses
Pays-Bas;2;9;01.01.2021;Aigle-Leysin-Les Mosses
Pologne;5;13;01.01.2021;Aigle-Leysin-Les Mosses
Portugal;2;6;01.01.2021;Aigle-Leysin-Les Mosses
Qatar;1;2;01.01.2021;Aigle-Leysin-Les Mosses
Roumanie;;;01.01.2021;Aigle-Leysin-Les Mosses
Royaume-Uni;6;12;01.01.2021;Aigle-Leysin-Les Mosses
Russie;4;7;01.01.2021;Aigle-Leysin-Les Mosses
Suède;;;01.01.2021;Aigle-Leysin-Les Mosses
Suisse;4631;8330;01.01.2021;Aigle-Leysin-Les Mosses
Thaïlande;2;2;01.01.2021;Aigle-Leysin-Les Mosses
Ukraine;;;01.01.2021;Aigle-Leysin-Les Mosses
Allemagne;;;01.01.2021;Avenches et env.
Autriche;;;01.01.2021;Avenches et env.
Belgique;;;01.01.2021;Avenches et env.
Bulgarie;;;01.01.2021;Avenches et env.
Canada;;;01.01.2021;Avenches et env.
Etats-Unis d'Amérique;;;01.01.2021;Avenches et env.
France;;;01.01.2021;Avenches et env.
Italie;;;01.01.2021;Avenches et env.
Pays-Bas;;;01.01.2021;Avenches et env.
Pologne;;;01.01.2021;Avenches et env.
Roumanie;;;01.01.2021;Avenches et env.
Suisse;;;01.01.2021;Avenches et env.
Turquie;;;01.01.2021;Avenches et env.
Allemagne;9;42;01.01.2021;Château-d'Oex-Rougemont-Rossini
Arabie Saoudite;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Australie;0;6;01.01.2021;Château-d'Oex-Rougemont-Rossini
Autres Amérique centrale, Caraïbes;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Autres Asie de l'Ouest;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Autres Europe;2;12;01.01.2021;Château-d'Oex-Rougemont-Rossini
Autriche;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Belgique;2;3;01.01.2021;Château-d'Oex-Rougemont-Rossini
Brésil;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Bulgarie;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Canada;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Chine (sans Hongkong);;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Chine (Taiwan);;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Emirats Arabes Unis;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Espagne;2;5;01.01.2021;Château-d'Oex-Rougemont-Rossini
Etats-Unis d'Amérique;12;14;01.01.2021;Château-d'Oex-Rougemont-Rossini
France;85;227;01.01.2021;Château-d'Oex-Rougemont-Rossini
Inde;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Israël;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Italie;5;10;01.01.2021;Château-d'Oex-Rougemont-Rossini
Japon;0;1;01.01.2021;Château-d'Oex-Rougemont-Rossini
Luxembourg;2;2;01.01.2021;Château-d'Oex-Rougemont-Rossini
Malte;2;4;01.01.2021;Château-d'Oex-Rougemont-Rossini
Norvège;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Pays-Bas;2;4;01.01.2021;Château-d'Oex-Rougemont-Rossini
Pologne;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Qatar;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
République de Corée;0;1;01.01.2021;Château-d'Oex-Rougemont-Rossini
République tchèque;2;4;01.01.2021;Château-d'Oex-Rougemont-Rossini
Roumanie;2;4;01.01.2021;Château-d'Oex-Rougemont-Rossini
Royaume-Uni;5;8;01.01.2021;Château-d'Oex-Rougemont-Rossini
Russie;0;4;01.01.2021;Château-d'Oex-Rougemont-Rossini
Singapour;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Suède;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Suisse;1202;2391;01.01.2021;Château-d'Oex-Rougemont-Rossini
Turquie;;;01.01.2021;Château-d'Oex-Rougemont-Rossini
Ukraine;3;10;01.01.2021;Château-d'Oex-Rougemont-Rossini
Allemagne;;;01.01.2021;Echallens et env.
Autres Europe;;;01.01.2021;Echallens et env.
Belgique;;;01.01.2021;Echallens et env.
Espagne;2;10;01.01.2021;Echallens et env.
France;;;01.01.2021;Echallens et env.
Italie;;;01.01.2021;Echallens et env.
République tchèque;1;27;01.01.2021;Echallens et env.
Suisse;3;59;01.01.2021;Echallens et env.
Afrique du Sud;;;01.01.2021;Lausanne agglo.
Allemagne;230;796;01.01.2021;Lausanne agglo.
Arabie Saoudite;4;15;01.01.2021;Lausanne agglo.
Argentine;0;2;01.01.2021;Lausanne agglo.
Australie;1;32;01.01.2021;Lausanne agglo.
Autres Afrique;24;193;01.01.2021;Lausanne agglo.
Autres Afrique du Nord;12;61;01.01.2021;Lausanne agglo.
Autres Amérique centrale, Caraïbes;16;24;01.01.2021;Lausanne agglo.
Autres Amérique du Sud;10;10;01.01.2021;Lausanne agglo.
Autres Asie de l'Est;22;24;01.01.2021;Lausanne agglo.
Autres Asie de l'Ouest;8;110;01.01.2021;Lausanne agglo.
Autres Europe;39;109;01.01.2021;Lausanne agglo.
Autriche;34;83;01.01.2021;Lausanne agglo.
Bahreïn;;;01.01.2021;Lausanne agglo.
Belgique;124;242;01.01.2021;Lausanne agglo.
Biélorussie;6;7;01.01.2021;Lausanne agglo.
Brésil;10;18;01.01.2021;Lausanne agglo.
Bulgarie;32;43;01.01.2021;Lausanne agglo.
Canada;5;10;01.01.2021;Lausanne agglo.
Chili;;;01.01.2021;Lausanne agglo.
Chine (sans Hongkong);30;108;01.01.2021;Lausanne agglo.
Chine (Taiwan);1;3;01.01.2021;Lausanne agglo.
Chypre;5;5;01.01.2021;Lausanne agglo.
Croatie;16;29;01.01.2021;Lausanne agglo.
Danemark;10;35;01.01.2021;Lausanne agglo.
Egypte;9;43;01.01.2021;Lausanne agglo.
Emirats Arabes Unis;7;19;01.01.2021;Lausanne agglo.
Espagne;96;257;01.01.2021;Lausanne agglo.
Estonie;2;6;01.01.2021;Lausanne agglo.
Etats-Unis d'Amérique;146;373;01.01.2021;Lausanne agglo.
Finlande;7;9;01.01.2021;Lausanne agglo.
France;2291;4046;01.01.2021;Lausanne agglo.
Grèce;22;51;01.01.2021;Lausanne agglo.
Hongkong;10;14;01.01.2021;Lausanne agglo.
Hongrie;3;6;01.01.2021;Lausanne agglo.
Inde;4;5;01.01.2021;Lausanne agglo.
Indonésie;;;01.01.2021;Lausanne agglo.
Iran (Perse);2;2;01.01.2021;Lausanne agglo.
Irlande (Eire);17;38;01.01.2021;Lausanne agglo.
Islande;;;01.01.2021;Lausanne agglo.
Israël;0;26;01.01.2021;Lausanne agglo.
Italie;367;747;01.01.2021;Lausanne agglo.
Japon;7;19;01.01.2021;Lausanne agglo.
Koweït;1;1;01.01.2021;Lausanne agglo.
Lettonie;1;6;01.01.2021;Lausanne agglo.
Liechtenstein;5;13;01.01.2021;Lausanne agglo.
Lituanie;1;1;01.01.2021;Lausanne agglo.
Luxembourg;25;47;01.01.2021;Lausanne agglo.
Malaisie;;;01.01.2021;Lausanne agglo.
Malte;2;6;01.01.2021;Lausanne agglo.
Mexique;4;24;01.01.2021;Lausanne agglo.
Norvège;6;17;01.01.2021;Lausanne agglo.
Nouvelle-Zélande, Océanie;;;01.01.2021;Lausanne agglo.
Oman;;;01.01.2021;Lausanne agglo.
Pays-Bas;52;101;01.01.2021;Lausanne agglo.
Philippines;2;2;01.01.2021;Lausanne agglo.
Pologne;24;41;01.01.2021;Lausanne agglo.
Portugal;125;340;01.01.2021;Lausanne agglo.
Qatar;;;01.01.2021;Lausanne agglo.
République de Corée;2;32;01.01.2021;Lausanne agglo.
République tchèque;12;48;01.01.2021;Lausanne agglo.
Roumanie;41;117;01.01.2021;Lausanne agglo.
Royaume-Uni;91;167;01.01.2021;Lausanne agglo.
Russie;67;190;01.01.2021;Lausanne agglo.
Serbie;6;6;01.01.2021;Lausanne agglo.
Singapour;9;15;01.01.2021;Lausanne agglo.
Slovaquie;3;22;01.01.2021;Lausanne agglo.
Slovénie;2;2;01.01.2021;Lausanne agglo.
Suède;9;40;01.01.2021;Lausanne agglo.
Suisse;8406;15972;01.01.2021;Lausanne agglo.
Thaïlande;3;3;01.01.2021;Lausanne agglo.
Turquie;13;69;01.01.2021;Lausanne agglo.
Ukraine;12;38;01.01.2021;Lausanne agglo.
Afrique du Sud;;;01.01.2021;Montreux Riviera
Allemagne;162;712;01.01.2021;Montreux Riviera
Arabie Saoudite;;;01.01.2021;Montreux Riviera
Argentine;;;01.01.2021;Montreux Riviera
Australie;4;12;01.01.2021;Montreux Riviera
Autres Afrique;5;110;01.01.2021;Montreux Riviera
Autres Afrique du Nord;2;6;01.01.2021;Montreux Riviera
Autres Amérique centrale, Caraïbes;;;01.01.2021;Montreux Riviera
Autres Amérique du Sud;;;01.01.2021;Montreux Riviera
Autres Asie de l'Est;;;01.01.2021;Montreux Riviera
Autres Asie de l'Ouest;1;2;01.01.2021;Montreux Riviera
Autres Europe;4;10;01.01.2021;Montreux Riviera
Autriche;21;40;01.01.2021;Montreux Riviera
Bahreïn;;;01.01.2021;Montreux Riviera
Belgique;43;109;01.01.2021;Montreux Riviera
Biélorussie;4;4;01.01.2021;Montreux Riviera
Brésil;19;79;01.01.2021;Montreux Riviera
Bulgarie;2;14;01.01.2021;Montreux Riviera
Canada;3;33;01.01.2021;Montreux Riviera
Chili;2;2;01.01.2021;Montreux Riviera
Chine (sans Hongkong);15;53;01.01.2021;Montreux Riviera
Chine (Taiwan);;;01.01.2021;Montreux Riviera
Chypre;1;3;01.01.2021;Montreux Riviera
Croatie;3;5;01.01.2021;Montreux Riviera
Danemark;1;2;01.01.2021;Montreux Riviera
Egypte;;;01.01.2021;Montreux Riviera
Emirats Arabes Unis;3;3;01.01.2021;Montreux Riviera
Espagne;40;186;01.01.2021;Montreux Riviera
Estonie;2;12;01.01.2021;Montreux Riviera
Etats-Unis d'Amérique;14;90;01.01.2021;Montreux Riviera
Finlande;;;01.01.2021;Montreux Riviera
France;752;1493;01.01.2021;Montreux Riviera
Grèce;5;5;01.01.2021;Montreux Riviera
Hongkong;;;01.01.2021;Montreux Riviera
Hongrie;4;10;01.01.2021;Montreux Riviera
Inde;5;53;01.01.2021;Montreux Riviera
Indonésie;;;01.01.2021;Montreux Riviera
Iran (Perse);0;31;01.01.2021;Montreux Riviera
Irlande (Eire);2;2;01.01.2021;Montreux Riviera
Islande;;;01.01.2021;Montreux Riviera
Israël;1;14;01.01.2021;Montreux Riviera
Italie;63;128;01.01.2021;Montreux Riviera
Japon;0;1;01.01.2021;Montreux Riviera
Koweït;0;31;01.01.2021;Montreux Riviera
Lettonie;8;49;01.01.2021;Montreux Riviera
Liechtenstein;2;2;01.01.2021;Montreux Riviera
Lituanie;5;18;01.01.2021;Montreux Riviera
Luxembourg;10;16;01.01.2021;Montreux Riviera
Malaisie;0;14;01.01.2021;Montreux Riviera
Malte;;;01.01.2021;Montreux Riviera
Mexique;4;17;01.01.2021;Montreux Riviera
Norvège;7;7;01.01.2021;Montreux Riviera
Nouvelle-Zélande, Océanie;;;01.01.2021;Montreux Riviera
Oman;;;01.01.2021;Montreux Riviera
Pays-Bas;29;37;01.01.2021;Montreux Riviera
Philippines;2;12;01.01.2021;Montreux Riviera
Pologne;10;10;01.01.2021;Montreux Riviera
Portugal;21;123;01.01.2021;Montreux Riviera
Qatar;3;9;01.01.2021;Montreux Riviera
République de Corée;3;34;01.01.2021;Montreux Riviera
République tchèque;4;12;01.01.2021;Montreux Riviera
Roumanie;127;257;01.01.2021;Montreux Riviera
Royaume-Uni;14;36;01.01.2021;Montreux Riviera
Russie;38;142;01.01.2021;Montreux Riviera
Serbie;7;16;01.01.2021;Montreux Riviera
Singapour;4;4;01.01.2021;Montreux Riviera
Slovaquie;;;01.01.2021;Montreux Riviera
Slovénie;;;01.01.2021;Montreux Riviera
Suède;8;8;01.01.2021;Montreux Riviera
Suisse;4331;8942;01.01.2021;Montreux Riviera
Thaïlande;2;2;01.01.2021;Montreux Riviera
Turquie;;;01.01.2021;Montreux Riviera
Ukraine;3;8;01.01.2021;Montreux Riviera
Afrique du Sud;;;01.01.2021;Morges et env.
Allemagne;6;29;01.01.2021;Morges et env.
Arabie Saoudite;;;01.01.2021;Morges et env.
Argentine;;;01.01.2021;Morges et env.
Australie;;;01.01.2021;Morges et env.
Autres Afrique;4;36;01.01.2021;Morges et env.
Autres Afrique du Nord;;;01.01.2021;Morges et env.
Autres Amérique centrale, Caraïbes;;;01.01.2021;Morges et env.
Autres Amérique du Sud;;;01.01.2021;Morges et env.
Autres Asie de l'Ouest;;;01.01.2021;Morges et env.
Autres Europe;;;01.01.2021;Morges et env.
Autriche;3;14;01.01.2021;Morges et env.
Belgique;3;5;01.01.2021;Morges et env.
Brésil;0;17;01.01.2021;Morges et env.
Bulgarie;;;01.01.2021;Morges et env.
Canada;;;01.01.2021;Morges et env.
Chine (sans Hongkong);;;01.01.2021;Morges et env.
Croatie;;;01.01.2021;Morges et env.
Danemark;1;3;01.01.2021;Morges et env.
Emirats Arabes Unis;;;01.01.2021;Morges et env.
Espagne;7;13;01.01.2021;Morges et env.
Etats-Unis d'Amérique;1;31;01.01.2021;Morges et env.
Finlande;2;2;01.01.2021;Morges et env.
France;111;337;01.01.2021;Morges et env.
Grèce;;;01.01.2021;Morges et env.
Hongrie;;;01.01.2021;Morges et env.
Inde;;;01.01.2021;Morges et env.
Irlande (Eire);;;01.01.2021;Morges et env.
Israël;;;01.01.2021;Morges et env.
Italie;11;25;01.01.2021;Morges et env.
Japon;;;01.01.2021;Morges et env.
Lettonie;;;01.01.2021;Morges et env.
Luxembourg;;;01.01.2021;Morges et env.
Mexique;;;01.01.2021;Morges et env.
Norvège;;;01.01.2021;Morges et env.
Pays-Bas;7;7;01.01.2021;Morges et env.
Philippines;;;01.01.2021;Morges et env.
Pologne;1;1;01.01.2021;Morges et env.
Portugal;9;10;01.01.2021;Morges et env.
République tchèque;;;01.01.2021;Morges et env.
Roumanie;;;01.01.2021;Morges et env.
Royaume-Uni;1;31;01.01.2021;Morges et env.
Russie;;;01.01.2021;Morges et env.
Serbie;;;01.01.2021;Morges et env.
Slovaquie;;;01.01.2021;Morges et env.
Suède;;;01.01.2021;Morges et env.
Suisse;494;985;01.01.2021;Morges et env.
Thaïlande;;;01.01.2021;Morges et env.
Turquie;;;01.01.2021;Morges et env.
Ukraine;;;01.01.2021;Morges et env.
Allemagne;2;2;01.01.2021;Moudon et env.
Belgique;;;01.01.2021;Moudon et env.
Etats-Unis d'Amérique;;;01.01.2021;Moudon et env.
France;0;1;01.01.2021;Moudon et env.
Italie;;;01.01.2021;Moudon et env.
Pays-Bas;;;01.01.2021;Moudon et env.
Portugal;0;3;01.01.2021;Moudon et env.
Royaume-Uni;;;01.01.2021;Moudon et env.
Suisse;65;316;01.01.2021;Moudon et env.
Afrique du Sud;0;5;01.01.2021;Nyon-St-Cergue et env.
Allemagne;69;203;01.01.2021;Nyon-St-Cergue et env.
Arabie Saoudite;3;55;01.01.2021;Nyon-St-Cergue et env.
Argentine;;;01.01.2021;Nyon-St-Cergue et env.
Australie;7;20;01.01.2021;Nyon-St-Cergue et env.
Autres Afrique;1;1;01.01.2021;Nyon-St-Cergue et env.
Autres Afrique du Nord;2;7;01.01.2021;Nyon-St-Cergue et env.
Autres Amérique centrale, Caraïbes;2;2;01.01.2021;Nyon-St-Cergue et env.
Autres Amérique du Sud;;;01.01.2021;Nyon-St-Cergue et env.
Autres Asie de l'Est;;;01.01.2021;Nyon-St-Cergue et env.
Autres Asie de l'Ouest;;;01.01.2021;Nyon-St-Cergue et env.
Autres Europe;;;01.01.2021;Nyon-St-Cergue et env.
Autriche;4;16;01.01.2021;Nyon-St-Cergue et env.
Belgique;12;40;01.01.2021;Nyon-St-Cergue et env.
Biélorussie;1;2;01.01.2021;Nyon-St-Cergue et env.
Brésil;1;4;01.01.2021;Nyon-St-Cergue et env.
Bulgarie;;;01.01.2021;Nyon-St-Cergue et env.
